player,base_prediction,adjusted_base,enhanced_prediction,minimax_adjustment,performance_penalty,volume_consistency,absence_penalty,total_adjustment,prob_lt5,prob_5_10,prob_10_15,prob_15_20,prob_20_25,prob_25_30,prob_30plus,prob_ge8,prob_ge10,prob_ge12,prob_ge15,prob_ge18,prob_ge20,prob_ge25,prob_ge30,p10,p25,p50,p75,p90,mean,std,latest_week
Michael Wilson,13.105253733477072,16.201730100035938,14.830856684713723,0.10015397999281302,6.99632238656605,1.0,-5.0,3.096476366558864,0.0838,0.1629,0.2635,0.2585,0.1547,0.0598,0.0168,0.8309,0.7533,0.6559,0.4898,0.3266,0.2313,0.0766,0.0168,5.694918171116994,10.08716839216937,14.830856684713723,19.608606203835276,23.921616726792156,14.887427502452299,7.001923576536356,15
Jakobi Meyers,14.194330158824545,15.072956940855818,14.768091261374305,-0.055342106791545304,-0.06603111117718202,1.0,0.0,0.8786267820312726,0.1493,0.1584,0.2025,0.2048,0.145,0.087,0.053,0.7627,0.6923,0.6159,0.4898,0.3639,0.285,0.14,0.053,2.6178794054190773,8.399194904629242,14.768091261374305,21.066054519951667,26.881961976893763,14.990662901390516,8.950009880723718,16
Mike Evans,18.46452749519136,17.021905499038272,14.610296482427778,-0.03145274951913599,-2.411169246633951,1.5,-0.5,-1.442621996153087,0.0885,0.1663,0.2677,0.2557,0.1491,0.0573,0.0154,0.8243,0.7452,0.644,0.4775,0.3152,0.2218,0.0727,0.0154,5.486389221382182,9.871589492741673,14.610296482427778,19.410007539048433,23.744251412630184,14.679203828486544,6.997551550664576,16
Jaylen Waddle,14.596305412722986,11.052313714123544,14.541131646066518,-0.1185779096933512,-1.4254137889060907,1.0,-3.0,-3.543991698599442,0.0904,0.1694,0.2661,0.255,0.1475,0.0571,0.0145,0.8216,0.7402,0.6402,0.4741,0.3116,0.2191,0.0716,0.0145,5.390580472734176,9.77974931553829,14.541131646066518,19.324552504709867,23.640195773062192,14.598400435690396,6.988466074790313,16
Zay Flowers,15.244284877524173,14.500940308838167,14.346630961767499,-0.1723451544190839,-1.5709994142669208,1.0,0.0,-0.7433445686860047,0.1566,0.1628,0.2089,0.2023,0.1444,0.0796,0.0454,0.7532,0.6806,0.6002,0.4717,0.3472,0.2694,0.125,0.0454,2.4386247378924883,8.100683153393016,14.346630961767499,20.557456013501916,26.247276424853766,14.593012493825112,8.78539641843396,16
Brock Bowers,16.961349627412183,14.86872447093698,14.216982793925482,-0.0956804172866729,-2.996944739188529,1.0,0.0,-2.092625156475202,0.1418,0.1712,0.2234,0.2132,0.1426,0.0715,0.0363,0.7641,0.687,0.6024,0.4636,0.3287,0.2504,0.1078,0.0363,3.1483998139602605,8.442580674378355,14.216982793925482,20.008468845499216,25.418180998214236,14.434475140852946,8.319960273334685,16
Michael Pittman,14.294184188894977,14.164836837778996,14.102443417702249,-0.06941841888949796,-1.0599289322264833,1.0,0.0,-0.12934735111598128,0.1745,0.1606,0.2012,0.194,0.1385,0.0806,0.0506,0.7353,0.6649,0.5847,0.4637,0.3433,0.2697,0.1312,0.0506,1.5880399941895955,7.551856209469738,14.102443417702249,20.59994589859732,26.555243242642323,14.4130878712438,9.1078817007696,16
Tee Higgins,14.929926880260272,9.630870608953957,13.23752583595658,0.1898925448758753,4.01105118381781,1.5,-11.0,-5.2990562713063145,0.1754,0.1792,0.2272,0.2027,0.1279,0.0613,0.0263,0.722,0.6454,0.5559,0.4182,0.2854,0.2155,0.0876,0.0263,1.832903758713947,7.282451081088969,13.23752583595658,19.03097252527394,24.3984481980875,13.397257826631767,8.231441269001868,14
Adonai Mitchell,10.805891393582101,12.922178278716421,12.586826615517655,-0.06558913935821008,0.68187602449253,1.5,0.0,2.11628688513432,0.222,0.1725,0.2014,0.1793,0.1196,0.0671,0.0381,0.679,0.6055,0.5253,0.4041,0.2893,0.2248,0.1052,0.0381,0.0,5.953421553331007,12.586826615517655,19.254014680377136,25.285813823600094,13.081264947872917,9.039287825011737,16
Tetairoa McMillan,10.661054356979504,12.581263589244875,12.508981315473088,0.20694728215102487,4.2132619501143465,1.5,-4.0,1.9202092322653712,0.1449,0.217,0.2768,0.2146,0.1077,0.0315,0.0075,0.739,0.6381,0.531,0.3613,0.2182,0.1467,0.039,0.0075,3.353694616971427,7.741227015847073,12.508981315473088,17.2850866002375,21.5852804354169,12.62402559599472,6.87181850323924,16
Quentin Johnston,10.953968492948889,11.621876738621836,12.40415362826246,0.17768619073717107,3.490222054935776,1.0,-4.0,0.6679082456729475,0.148,0.2183,0.2769,0.2135,0.1051,0.0309,0.0073,0.7332,0.6337,0.5245,0.3568,0.214,0.1433,0.0382,0.0073,3.2551812930938047,7.639460670087214,12.40415362826246,17.17995292249417,21.48676711153928,12.523759766142582,6.863882115802871,16
Tyler Warren,10.365814303244933,9.972953575811234,12.352142759604398,0.01120928483775332,-1.4040700122714538,1.0,0.0,-0.3928607274337004,0.1492,0.2198,0.2763,0.213,0.1041,0.0304,0.0072,0.7313,0.631,0.521,0.3547,0.2123,0.1417,0.0376,0.0072,3.217937663535639,7.588397639928041,12.352142759604398,17.133971150530392,21.44613321191163,12.478964733261396,6.85700336463872,16
Khalil Shakir,12.602436517986916,12.486487303597382,12.320770913327184,-0.012243651798691602,-0.6037055625908425,1.0,-0.5,-0.1159492143895341,0.2195,0.1842,0.2093,0.1803,0.1164,0.06,0.0303,0.6762,0.5963,0.5135,0.387,0.2705,0.2067,0.0903,0.0303,0.19266054256208037,5.9627198738034695,12.320770913327184,18.613788525555243,24.43048662418185,12.730603567943936,8.658544264456024,16
Chimere Dike,8.99329443345684,12.15457360836421,12.306481183185191,0.14408527832715798,2.017193896580211,1.0,0.0,3.161279174907369,0.2302,0.1779,0.1996,0.1757,0.116,0.0645,0.0361,0.6701,0.5919,0.5131,0.3923,0.2793,0.2166,0.1006,0.0361,0.0,5.642717159683209,12.306481183185191,18.945306623842974,25.04993182440843,12.81150500089335,8.99303327705297,16
Stefon Diggs,10.25595542593252,12.342345999340274,12.075730321899432,0.25755937156051695,4.328831201847237,1.5,-4.0,2.086390573407754,0.2121,0.195,0.2233,0.185,0.1123,0.0502,0.0221,0.6775,0.5929,0.5035,0.3696,0.2489,0.1846,0.0723,0.0221,0.7148016240494539,6.111728069619258,12.075730321899432,17.974927493673537,23.443535517691696,12.421428011196538,8.201027074677894,16
Justin Jefferson,16.425392779726863,11.57972141308823,12.017856304645937,-0.08789642082982906,-5.757774945808804,1.0,0.0,-4.8456713666386335,0.2258,0.1883,0.213,0.1768,0.1119,0.0572,0.027,0.6661,0.5859,0.5005,0.3729,0.2593,0.1961,0.0842,0.027,0.008090636509206772,5.698416859433234,12.017856304645937,18.341769141382347,24.137382657259234,12.449837586324993,8.581143188146164,16
Ladd McConkey,13.243836930476727,9.555000899285849,11.984516314842649,0.08384982014283038,-0.7726858513337083,0.0,-3.0,-3.6888360311908777,0.2084,0.1993,0.2329,0.1905,0.1096,0.0438,0.0155,0.6813,0.5923,0.4993,0.3594,0.2358,0.1689,0.0593,0.0155,0.9104878427279818,6.242521857105068,11.984516314842649,17.591790806254664,22.74956168511058,12.220744946969399,7.873848792164695,16
Davante Adams,18.81416521127862,10.362105769528453,11.900645835961814,-0.27414379385513465,-3.6779156478950323,1.0,-5.5,-8.452059441750167,0.2135,0.2001,0.2289,0.1839,0.1088,0.0467,0.0181,0.6734,0.5864,0.4951,0.3575,0.2376,0.1736,0.0648,0.0181,0.6994268936813309,5.957497788054411,11.900645835961814,17.632345294917936,22.92439509473315,12.184040446308567,8.021163387982368,15
