#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
105,JuJu Smith-Schuster,WR,KC,16,10.5,1.5,9.5,13.6,3.7,8.7,6.5,4.9,1.2,BYE,0,1.8,0,1.5,0,2.2,4.6,4.4,70.2
105,Van Jefferson,WR,TEN,16,0,3,1.8,1.6,0,11.5,8.1,1.6,3.1,BYE,11.2,2.1,5,3.7,5.3,4.4,7.6,4.4,70
107,Rashod Bateman,WR,BAL,13,3,3.5,17.3,3.4,0,1.8,BYE,7.1,9.3,4,-,-,0,4.3,-,0,1.7,4.3,55.4
108,DeAndre Hopkins,WR,BAL,16,11.5,14.4,2.3,0,6.6,4,BYE,2.4,0,3.6,2.1,3.3,4.5,0,4.2,8.1,0,4.2,67
108,Kalif Raymond,WR,DET,14,3.6,3.3,1.4,9.3,0,0,4.7,BYE,0,9.9,0,5.7,-,-,3,16.2,1.5,4.2,58.6
110,Jaylin Noel,WR,HOU,16,1.7,0,1.4,1,9.8,BYE,11.7,11.3,-0.3,7.5,2.2,1.9,0,3.3,0,0,14.6,4.1,66.1
110,Demarcus Robinson,WR,SF,13,-,-,-,3,6.9,6.4,0,4.5,0,6.4,2.3,1.8,0.6,BYE,5.6,10.3,5,4.1,52.8
112,Tre Harris,WR,LAC,16,2.1,5.4,0,0,0,6.7,4.3,8.8,3.8,2.4,2.2,BYE,6,3.1,7.9,9.4,2.5,4,64.6
112,Jared Wayne,WR,HOU,1,-,-,-,-,-,BYE,-,4,-,-,-,-,-,-,-,-,-,4,4
114,Jalen Tolbert,WR,DAL,12,1,3.6,7.4,10.1,0,1.8,2.6,12.7,0,BYE,0,-,0,-,-,-,7.1,3.9,46.3
115,Lil'Jordan Humphrey,WR,DEN,9,-,-,-,-,-,9.5,0,0,-,-,0,BYE,0,5.7,13.2,1.9,4.3,3.8,34.6
115,Zay Jones,WR,ARI,8,1.4,0,4.5,-,2.8,12.9,8.7,BYE,0,0,-,-,-,-,-,-,-,3.8,30.3
117,Isaiah Williams,WR,NYJ,14,-,0,0,-2,-,0,0,8.6,BYE,7.4,1.6,0,0,10.4,11.3,6.5,7.5,3.7,51.3
117,Treylon Burks,WR,WAS,7,-,-,-,-,-,-,-,-,2.4,8.8,-,BYE,7.5,0,0,5,2.1,3.7,25.8
119,Kevin Austin Jr.,WR,NO,7,-,-,0,-,-,-,-,-,-,-,BYE,0,0,0,6.3,3.8,15.2,3.6,25.3
119,Xavier Restrepo,WR,TEN,2,-,-,-,-,-,-,-,-,-,BYE,-,4.6,2.5,-,-,-,-,3.6,7.1
121,Isaiah Bond,WR,CLE,15,1.5,2.5,3.6,8.8,4.9,2.9,0,0,BYE,-,0.8,7.8,3.7,0,10.9,2,2.6,3.5,52
121,Brandin Cooks,WR,BUF,15,5.6,4.6,5.4,5.2,1.5,3.1,1.3,5.2,3.6,0,-,-,2.3,0,0,0,14.1,3.5,51.9
